294,C00569665,CONSTITUTIONAL VETERANS FOR FREEDOM SUPER PAC,QUARTERLY FILER
295,C00492116,COOPERATIVE OF AMERICAN PHYSICIANS IE COMMITTEE,MONTHLY FILER
296,C00561605,CORE VALUES POLITICAL ACTION COMMITTEE,QUARTERLY FILER
297,C00508432,CORPORATIONS FOR HIGHER UNEMPLOYMENT AND LOWER WAGES,QUARTERLY FILER
298,C00587170,COUNCIL OF JUSTICE,QUARTERLY FILER
299,C00566778,COUNTERPAC,MONTHLY FILER
300,C00523498,COURAGE CAMPAIGN SUPER PAC,QUARTERLY FILER
301,C00561290,CRA LEADERSHIP PAC,QUARTERLY FILER
302,C00507517,CREDO SUPERPAC,QUARTERLY FILER
303,C00561621,CRESCENT CITY SUPER PAC,QUARTERLY FILER
304,C00521146,CROSSROADS GENERATION,QUARTERLY FILER
305,C00576157,CRUSADERS PAC,QUARTERLY FILER
306,C00558924,CT BLACK REPUBLICANS AND CONSERVATIVES,QUARTERLY FILER
307,C00524538,DARBO,QUARTERLY FILER
308,C00541532,DAVIS ADVISORY GROUP LLC DBA AMERICA CHANGE - A POLITICAL ACTION COMMITTEE,QUARTERLY FILER
309,C00540203,DEFENDING MAIN STREET SUPERPAC INC.,MONTHLY FILER
310,C00539858,DEFENDING OUR VALUES,QUARTERLY FILER
311,C00526962,DELAWARE HORSE ASSOCIATION,QUARTERLY FILER
312,C00575381,DELTA ACCREDITED INVESTOR ALPHA FUND,QUARTERLY FILER
313,C00552042,DEMOCRACY DEMANDS,QUARTERLY FILER
314,C00575811,DEMOCRATIC ACTION PAC,QUARTERLY FILER
315,C00580365,DEMOCRATS FOR LIFE OF AMERICA INDEPENDENT PAC,QUARTERLY FILER
316,C00586271,DEPORT RACISM PAC,QUARTERLY FILER
317,C00563163,DETROIT FORWARD-FEDERAL,MONTHLY FILER
318,C00550509,DETROITERS VOTE,QUARTERLY FILER
319,C00503789,DGA ACTION,MONTHLY FILER
320,C00578963,DICK MORRIS' JUST SAY NO TO HER! PAC,QUARTERLY FILER
321,C00587212,DIGITAL PATRIOT NETWORK,QUARTERLY FILER
322,C00564997,DIRECT SELLING EMPOWERS AMERICANS,QUARTERLY FILER
323,C00573287,DIRECTORS GUILD OF AMERICA,QUARTERLY FILER
324,C00520452,DISABLED CITIZENS UNITED,QUARTERLY FILER
325,C00571935,DISRUPT PAC,QUARTERLY FILER
326,C00494997,DOWNTOWN FOR DEMOCRACY INDEPENDENT EXPENDITURE COMMITTEE,QUARTERLY FILER
327,C00574418,DRAFT BIDEN 2016,QUARTERLY FILER
328,C00566141,DRAFT BRIAN SCHWEITZER,QUARTERLY FILER
329,C00584722,DRUNES ARE THE FUTURE FKA FORCE AWAKENS,QUARTERLY FILER
330,C00543868,EASTGATE VICTORY INC,QUARTERLY FILER
331,C00502815,ECONOMIC STRATEGY GROUP,QUARTERLY FILER
332,C00522839,ELECT A NEW CONGRESS,QUARTERLY FILER
333,C00585000,EMA PAC,QUARTERLY FILER
334,C00490409,EMERGENCY COMMITTEE FOR ISRAEL PAC,QUARTERLY FILER
